word,definition,translation
behind bars,,"[法] 在狱中, 在押"
behind bolt and bar,,[法] 被关在监牢里
behind closed door,,与外界隔绝地;秘密地
behind closed doors,,"与外界隔绝地, 秘密地"
behind eight balls,,"处境不利,危如累卵"
behind in,,"误期,落后,耽搁,拖延"
behind in one's payment,,[经] 逾期付款
behind pipe,,[经] 未完井
behind sb's back,,"在(某人)背后, 背着(某人)"
behind sb.'s back,,在某人背后
behind schedule,,落后于预定计划
behind someone's back,,背着(某人)
behind the bars,,关在牢里
behind the curtain,,"幕后, 秘密"
behind the requirement,,"赶不上要求,不能满足要求,供不应求"
behind the scenes,,"在后台, 在幕后\n[法] 秘密地, 暗中, 幕后"
behind the times,,过时
behind time,,迟了
behind with,,"落后,拖延,耽搁"
behind-closed-doors,,暗中地；与外界隔绝地
behind-the-counter,,在商店或银行当服务员
behind-the-scene,,a. 幕后的
behind-the-scenes,s designed and carried out secretly or confidentially,a. 幕后的
behind-the-wheel,,在驾驶；掌舵；主管
behinder,,prep. 在…之后，在…后面，在…的背后；向…的背后；到…的背后：；(时间)迟于，晚于：\nadv. 在背后；向背后；到背后；早先；在过去\nadj. 跟着的，随后的，在后面的，位于后面的；背后的
behindhand,s. behind schedule,"a. 拖欠的, 迟的, 落后的\nadv. 拖欠地, 迟地, 落后地"
behinds,,"（义同 bottom,委婉说法, 即屁股）( behind的名词复数 )"
Behistun,,"贝希斯敦(伊朗西部一古城镇的遗迹)[亦作 Bisitun, Bisutun]"
behl,,n. (Behl)人名；(德、英)贝尔
Behla's bodies,,"[医] 贝拉氏体, 普利默氏体(癌细胞中小包涵体)"
behle,, [人名] 贝利
behlen,,n. (Behlen)人名；(英、德)贝伦
behlendorf,, [地名] [德国] 贝伦多夫
behler,, [人名] 贝勒
behling,, [人名] 贝林
behm,,n. (Behm)人名；(英、法、德、西)贝姆
Behmen,,[网络] 贝门
Behmenism,,n. = Boehmenism
behn,"n. The Centaurea behen, or saw-leaved centaury.\nn. The Cucubalus behen, or bladder campion, now called Silene\n   inflata.\nn. The Statice limonium, or sea lavender.", [人名] 贝恩
behnke,, [人名] 本克
Behnken's unit,,[医] 本肯氏单位(X线)
Behoet's syndrome,,[医] 贝切特氏综合征(生殖器溃疡、口疮及眼色素层炎)
behold,v. see with attention,"vt. 看到, 注视\nvi. 看"
beholden,s. under a moral obligation to someone,"a. 负有义务的, 受惠的"
beholder,n a person who becomes aware (of things or events) through the senses,n. 观看者
beholders,plural of beholder\nn a person who becomes aware (of things or events) through the senses,(beholder 的复数) n. 观看者
beholding,"p. pr. & vb. n. of Behold\na. Obliged; beholden.\nn. The act of seeing; sight; also, that which is beheld.","v. 看, 注视( behold的现在分词 ); 瞧; 看呀; （叙述中用于引出某人意外的出现）哎哟"
beholds,v see with attention,"v. 看, 注视( behold的第三人称单数 ); 瞧; 看呀; （叙述中用于引出某人意外的出现）哎哟"
behoof,v. t. Advantage; profit; benefit; interest; use.,"n. 好处, 利益\n[法] 利益, 利润, 用途"
behoove,v. be appropriate or necessary,"vt. 理应, 应该\nvi. 理所当然"
behooved,imp. & p. p. of Behoove,v. 适宜( behoove的过去式和过去分词 )
behooves,v be appropriate or necessary,"n. 利益, 好处( behoof的名词复数 )\nv. 适宜( behoove的第三人称单数 )"
behooving,p. pr. & vb. n. of Behoove,v. 适宜( behoove的现在分词 )
behove,v be appropriate or necessary,"vt. 理应, 应该\nvi. 理所当然"
behoved,v be appropriate or necessary,"v. <英>理应, 应该, 理所当然( behove的过去式和过去分词 )"
behoves,v be appropriate or necessary,"v. <英>理应, 应该, 理所当然( behove的第三人称单数 )"
behoving,v be appropriate or necessary,"v. <英>理应, 应该, 理所当然( behove的现在分词 )"
behr,,n. (Behr)人名；(英、法、德、罗、瑞典)贝尔
Behr's disease,,[医] 贝尔氏病(成人黄斑变性)
behre,, [人名] 贝雷
Behre's test,,[医] 贝雷氏试验(检丙酮)
Behre-Benedict's test,,[医] 贝-本二氏试验(检酮体)
behrend,,n. (Behrend)人名；(德、英)贝伦德；(法)贝朗
behrends,,n. (Behrends)人名；(英)贝伦兹；(德)贝伦茨
behrendt,, [人名] 贝伦特
behrens,n. German architect known for his simple utilitarian factory buildings (1868-1940), [人名] 贝伦斯
Behring,n Danish explorer who explored the northern Pacific Ocean for the Russians and discovered the Bering Strait (1681-1741),"白令(即Bering,Vitus)"
Behring's law,,"[医] 贝林格氏定律(注射免疫者的血或血清于另一人,后者即获得免疫)"
Behring's serum,,[医] 贝林格氏血清(白喉血清)
Behring's tuberculins,,"[医] 贝林格氏结核菌素(结核菌浸剂,结核菌蜡)"
Behring's tulase,,[医] 贝林格氏结核菌蜡
Behring's tyberculin,,"[医] 贝林格氏结核菌素(结核菌浸剂;结核菌蜡,图洛斯)"
Behringer,comparative of Behring\nn Danish explorer who explored the northern Pacific Ocean for the Russians and discovered the Bering Strait (1681-1741),"(Behring 的比较级) 白令(即Bering,Vitus)"
Behrman,,"贝尔曼(Samuel Nathan, 1893-1973, 美国作家)"
behrmann,,n. (Behrmann)人名；(德、西、瑞典)贝尔曼
Behtlehem,,"n. 伯利瀚,耶稣诞生地"
behung,,"[与with连用]挂了...的, 挂满...的"
behzad,,n. (Behzad)人名；(伊朗)贝赫扎德
bei,,abbr. 行为事件访谈法（Behavioral Event Interview）；无白金式电子点火（Breakerless Electronic Ignition）；英国国际电气公司（British Electricity International Ltd.）
Beibu,,Gulf北部湾(在中国和越南之间)
beichman,, [人名] 比奇曼
beida,,n. 贝达（利比亚东北部城市）
Beidaihe,,北戴河[河北省](旧译Peitaiho)
beidellite,,贝得石
beider,,n. (Beider)人名；(阿拉伯)贝德尔；(匈)拜德
beiderbecke,, 贝德贝克，利昂·俾斯马克((1903-1931) 美国爵士乐作曲家和音乐家。作为自学成材的钢琴家和短号手，他是第一个在爵士乐圈中被黑人音乐家认为杰出的白人音乐家)
beidler,,n. (Beidler)人名；(德)拜德勒；(英)贝德勒
beier,,n. 贝尔（人名）
beige,n. a very light brown\ns. of a light greyish-brown color,"a. 淡棕色的\nn. 薄斜纹呢, 米色"
beigel,,贝格尔（男子名）
Beigel's disease,,"[医] 拜格耳氏病, [热带]毛孢子菌病"
beiges,plural of beige\nn. a very light brown\ns. of a light greyish-brown color,"(beige 的复数) a. 淡棕色的\nn. 薄斜纹呢, 米色"
beighle,, [人名] 贝尔
beigie,,n. (Beigie)人名；(英)贝吉
beignet,"n a deep-fried, yeast-raised doughnut dusted with confectioners' sugar",[法]带馅煎饼
beignets,,面包圈（beignets是beignet的复数形式）\n带馅煎饼（beignets是beignet的复数形式）
beigy,,a. beige的变形
beihai,,北海
Beijerinckia,,拜叶林克氏菌属
Beijing,n. capital of the People's Republic of China in the Hebei province in northeastern China; 2nd largest Chinese city,[经] 北京
Beijing dialect,,[网络] 北京话；方言北京话；北京方言
Beijinger,,北京人
beijings,,n. 北京（等于Peking或Pekin）
beik,,n. (Beik)人名；(匈)拜克
beil,,abbr. beiliegend (German=enclosed) （德语）（信等的）内附…，附件，封闭式的
Beilby layer,,"[化] 拜尔比层(金属或矿石表面,经摩擦发热,晶格遭到破坏或变形)"
beilenson,, [人名] 贝伦森
beilfuss,, [人名] 贝尔福斯
beilke,, [人名] 贝尔克
beilstein test,,[机] 贝尔斯登试验
beilupeimine,,白炉贝碱
bein,,n. 拜因（姓氏）
beinart,,n. (Beinart)人名；(英)贝纳特
beinecke,,n. (Beinecke)人名；(英、德)拜内克
beiner,,adj. [苏格兰英语]；舒适的
being,n. the state or fact of existing,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
being as,,"既然,由于…"
being calculated to deceive,,[法] 有意欺骗
being oneself home,,[经] 恢复经济状况
being sb under subjection,,制服某人
being to the hammer,,[经] 拿出去拍卖
being-in-itself,, 自生
being-in-the-world,,在世\n存在世上
beingless,,a. 不存在的
beingness,,存在的性质
beings,"n. the state or fact of existing\nn. a living thing that has (or can develop) the ability to act or function independently\nv. have the quality of being; (copula, used with an adjective or a predicate noun)",n. 人; 生物（ being的复数形式 ）; 存在; 思想感情; 身心
beinn,, [地名] 山、峰（盖尔语）
beir,,abbr. biological effects of ionizingradiation 电离辐射生物效应
Beira,n a port city in eastern Mozambique on the Mozambique Channel,贝拉[莫桑比克东南部港市]
beirne,, [人名] 贝尔尼
Beirut,n capital and largest city of Lebanon; located in western Lebanon on the Mediterranean,n. 贝鲁特
Beiruti,,n. 贝鲁特人
beiruts,,n. 贝鲁特（黎巴嫩一港口）
beis,,abbr. 行为事件访谈法（Behavioral Event Interview）；无白金式电子点火（Breakerless Electronic Ignition）；英国国际电气公司（British Electricity International Ltd.）\nn. (Bei)人名；(越)倍；(葡、意)贝伊
beisa,,东非长角羚
beisel,, [人名] 拜塞尔
beit,,拜特（人名）
Beith,,n. (Beith)人名；(英)比思
beito,, [人名] 贝托
beitz,,n. (Beitz)人名；(英)贝茨；(德)拜茨
beitzel,, [人名] 贝策尔
beiyinite,,白云矿
beizer,, [人名] 贝泽
Beja,,"n. 贝沙族(人, 语)"
bejabbers,,"int. 啊讶, 糟糕(表示惊奇,愤怒等)"
Bejaia,,贝贾亚[阿尔及利亚北部港市]
bejan,,n. (Bejan)人名；(塞)贝扬；(法、罗)贝让
bejeaned,,"a. 穿牛仔装的,穿牛仔裤的"
bejel,,非性病梅毒
bejesus,,n. 老天
bejewel,v. adorn or decorate with precious stones,vt. 饰以珠宝
bejeweled,v adorn or decorate with precious stones,a. 用宝石来装饰的\nv. 给…饰以珠宝（bejewel的过去式）
bejeweling,p. pr. & vb. n. of Bejewel,v. 饰以珠宝( bejewel的现在分词 )
bejewell,,v. 饰以珠宝
bejewelled,v adorn or decorate with precious stones,饰以珠宝的（bejewel的变体）
bejewelling, of Bejewel,v. 饰以珠宝( bejewel的现在分词 )
bejewels,v adorn or decorate with precious stones,vt. 饰以珠宝（bejewel的第三人称单数形式）
bek,,n. (Bek)人名；(匈)拜克；(德、俄、塞、波、捷、土)贝克\nabbr. 牛胚肾（bovine embryo kidney）
Bekaa,,贝卡[黎巴嫩中部一谷地]
beke,,白种移民
beken,,n. (Beken)人名；(土)贝肯；(土库)别肯
beker,,n. (Beker)人名；(俄、塞、土)贝克尔；(英)贝克
bekesy,,n. (Bekesy)人名；(英)贝克希
bekinkinite,,方沸霞辉岩
bekins,, [人名] 贝金斯
bekka,,n. (Bekka)人名；(日)别火(姓)；(法、阿拉伯)贝卡
bekker,,n. (Bekker)人名；(英)贝克；(俄、罗、南非、荷、丹、德)贝克尔
bekko,, 玳瑁斑
bekkos,plural of bekko,(bekko 的复数)  玳瑁斑
beknave,v. t. To call knave.,vt. 骂(某人)为恶棍
BEL,n. a logarithmic unit of sound intensity equal to 10 decibels\nn. Babylonian god of the earth; one of the supreme triad including Anu and Ea; earlier identified with En-lil,[计] 报警符\n[医] 贝[耳](响度单位)
Bel and the Dragon,,[网络] 贝尔和龙
bel canto,,n. 〈音〉美声唱法
bel esprit,,"[法]才子, 才华出众的人"
bel-air,,贝尔艾尔（加拿大通用汽车公司）；贝艾尔市（位于美国马里兰哈佛特郡）
Bel-Merodach,,[网络] 岂不是被巴玛路达
bela,,[医] 印度枸桔(芸香科)
Bela Bartok,,[网络] 巴尔托克；巴托克；巴尔扥克
Bela Lugosi,,[网络] 卢戈西；贝拉·卢戈西；贝拉·鲁格希
belabor,v. to work at or to absurd length\nv. attack verbally with harsh criticism,"vt. 痛打\n[法] 殴打, 鞭打, 辱骂"
belabored,imp. & p. p. of Belabor,v. 毒打一顿( belabor的过去式和过去分词 ); 责骂; 就…作过度的说明; 向…唠叨
belaboring,p. pr. & vb. n. of Belabor,v. 毒打一顿( belabor的现在分词 ); 责骂; 就…作过度的说明; 向…唠叨
belabors,v to work at or to absurd length\nv attack verbally with harsh criticism\nv beat soundly,vt. 毒打一顿（belabor的第三人称单数形式）
belabour,v. beat soundly,vt. 痛打
belaboured,v to work at or to absurd length\nv beat soundly\nv attack verbally with harsh criticism,"v. 痛打, 责骂( belabour的过去式和过去分词 )"
belabouring,v to work at or to absurd length\nv beat soundly\nv attack verbally with harsh criticism,"v. 痛打, 责骂( belabour的现在分词 )"
belabours,v to work at or to absurd length\nv beat soundly\nv attack verbally with harsh criticism,"v. 痛打, 责骂( belabour的第三人称单数 )"
belachew,,n. (Belachew)人名；(埃塞)贝拉丘
Belady,,[计] 贝莱迪
Belady algorithm,,[计] 贝莱迪算法
belafonte,,n. (Belafonte)人名；(英、法)贝拉方特
belaga,, [人名] 贝拉加; [地名] [马来西亚] 美拉牙
belah,,n. (=belar) ①白木麻黄 ②昆士兰金合欢
belaid,"past tense of belay\nn. something to which a mountain climber's rope can be secured\nv. turn a rope round an object or person in order to secure it or him\nv. fasten a boat to a bitt, pin, or cleat",(belay 的过去时) vt. 把缆绳拴在系索栓上\nvi. 把缆绳拴在系索栓上
belair,,n. (Belair)人名；(英)贝莱尔
Belamcanda,,[网络] 射干属；鸢尾属
Belamcanda chinensis,,[网络] 中华白兰地
Belamcanda sinensis,,[医] 射干
belanger,,n. (Belanger)人名；(英)贝朗格
Belarus,n. a landlocked republic in eastern Europe; formerly a European soviet,"n. 白俄罗斯, 白俄罗斯共和国"
Belarusian,n. the Slavic language spoken in Belarus\na. of or pertaining to Belarus or to the people or culture of Belarus,白俄罗斯的
Belarusian monetary unit,,[网络] 白俄罗斯货币单位
belarusians,,白俄罗斯的
Belarussian,,n. 白俄罗斯语；白俄罗斯人\na. 白俄罗斯的
belarussians,,"adj., n. Belarus的变形"
belas,,n. (Belas)人名；(塞、葡、捷)贝拉斯
Belascaris,,[医] 弓蛔虫属
Belascaris cati,,[医] 猫弓蛔虫
Belascaris mystax,,[医] 猫弓蛔虫
belasco,,贝拉斯科（人名）
belat,,n. 强烈西北风
belated,s. after the expected or usual time; delayed,"a. 迟来的\n[法] 过了期的, 落后了的"
belated claim,,[经] 迟索的赔款
belated opposition,,[法] 过期的异议
belated payment,,[经] 滞纳金
belatedly,r later than usual or than expected,adv. 延迟地；延续地
belatedness,,迟到
belating,p. pr. & vb. n. of Belate,n. 【气象学】皮拉脱风
Belau,n a chain of more than 200 islands about 400 miles long in the western central Pacific Ocean,"贝劳(共和国)(太平洋岛屿托管地, 即密克罗尼西亚美国托管地中的一个政治实体)"
belaud,v. t. To laud or praise greatly.,"vt. 对...大加赞扬, 过分赞扬"
Belawan,,n. 巴拉望（印尼苏门答腊岛第一大城市棉兰的海港）
belay,"n. something to which a mountain climber's rope can be secured\nv. turn a rope round an object or person in order to secure it or him\nv. fasten a boat to a bitt, pin, or cleat",v. 把缆绳拴在系索栓上
belayed, of Belay,v. 把绳索拴在系绳栓上( belay的过去式和过去分词 )
belayer,, 保护者
belaying,p. pr. & vb. n. of Belay,v. 把绳索拴在系绳栓上( belay的现在分词 )
belaying pin,, 套索桩，系索栓
belays,"n something to which a mountain climber's rope can be secured\nv turn a rope round an object or person in order to secure it or him\nv fasten a boat to a bitt, pin, or cleat",v. 把绳索拴在系绳栓上（belay的第三人称单数形式）
belber,, [人名] 贝尔伯
belcastro,, [人名] 贝尔卡斯特罗
belch,n. a reflex that expels gas noisily from the stomach through the mouth,"vi. 打嗝, 喷吐\nvt. 打嗝, 吼叫着发出(命令), 喷吐\nn. 打嗝, 喷吐"
belched,imp. & p. p. of Belch,"v. 打嗝( belch的过去式和过去分词 ); 喷出, 吐出; 打（嗝）; 嗳（气）"
belcher,"n. One who, or that which, belches.",n. 彩色围巾
belchers,,Belcher Islands <加拿大>贝尔彻群岛
belchertown,, [地名] [美国] 贝尔彻敦
belches,n a reflex that expels gas noisily from the stomach through the mouth\nv expel gas from the stomach\nv become active and spew forth lava and rocks,"n. 嗳气( belch的名词复数 ); 喷吐; 喷出物\nv. 打嗝( belch的第三人称单数 ); 喷出, 吐出; 打（嗝）; 嗳（气）"
belching,n. the forceful expulsion of something from inside,[医] 嗳气
belcourt,,n. (Belcourt)人名；(法)贝尔古
beld,,a. 秃头的
beldam,n an ugly evil-looking old woman\nn a woman of advanced age,"n. 恶婆, 祖母"
beldame,n an ugly evil-looking old woman\nn a woman of advanced age,"n. 恶婆, 祖母"
beldames,plural of beldame\nn an ugly evil-looking old woman\nn a woman of advanced age,"(beldame 的复数) n.恶婆, 祖母"
belden,,n. 百通（公司名）；贝尔登（姓氏）
belden curve,,[机] 贝登曲线
beldin,, [医]苯那君醇溶液（含盐酸苯海拉明）<抗组胺药>
belding,,n. (Belding)人名；(英、瑞典)贝尔丁
beldon,,n. (Beldon)人名；(英)贝尔登；(法)贝尔东
beldongrite,,杂硅铁锰矿
bele,,贝莱
beleaguer,v annoy persistently\nv surround so as to force to give up,"vt. 围, 围攻"
beleaguered,v annoy persistently\nv surround so as to force to give up,v. 围攻（beleaguer的过去式和过去分词）\na. 围困的；包围的
beleaguerer,n. One who beleaguers.,n. beleaguer的变形
beleaguering,p. pr. & vb. n. of Beleaguer,v. 围攻( beleaguer的现在分词 ); 困扰; 骚扰
beleaguerment,,n. beleaguer的变形
beleaguers,v annoy persistently\nv surround so as to force to give up,v. 围攻( beleaguer的第三人称单数 ); 困扰; 骚扰
beleagured,,"a. 围困, 包围, 围攻"
belecture,v. t. To vex with lectures; to lecture frequently.,"v. 谆谆教诲, 时加叱责"
belee,"v. t. To place under the lee, or unfavorably to the wind.",v. 置之下风
beleke,,印度熏干鲑鱼片[条]
belem,,n. 贝伦市（巴西一座城市）
belemnite,n. a conical calcareous fossil tapering to a point at one end and with a conical cavity at the other end containing (when unbroken) a small chambered phragmocone from the shell of any of numerous extinct cephalopods of the family Belemnitidae,n. 箭石
belemnites,plural of belemnite\nn. a conical calcareous fossil tapering to a point at one end and with a conical cavity at the other end containing (when unbroken) a small chambered phragmocone from the shell of any of numerous extinct cephalopods of the family Belemnitidae,(belemnite 的复数) n. 箭石
belemnitic,a of or relating to belemnites,a. belemnite的变形
Belemnitidae,,[网络] 百合科
belemnoid,,a. 形像匕首的
belemnoid process,,[医] 茎突
Belemnoidea,,n. [古生] 箭石目
belemnoids,plural of belemnoid,(belemnoid 的复数) adj.形像匕首的
belen,,n. (Belen)人名；(英、德、土)贝伦
belet,, [人名] 贝利特
beletter,,用缩写的官衔、学衔等附加于(人名)前
belew,, [人名] 贝卢
beleza,,n. (Beleza)人名；(葡)贝莱扎
Belfast,n. capital and largest city of Northern Ireland; the center of Protestantism in Northern Ireland,n. 贝尔法斯特
belfield,,n. (Belfield)人名；(英)贝尔菲尔德
Belfield's operation,,"[医] 贝尔费尔德氏手术, 输精管切断术"
belfiore,,n. (Belfiore)人名；(法)贝尔菲奥尔；(意、葡)贝尔菲奥雷
Belford,,n. (Belford)人名；(英)贝尔福德
Belfort,,n. 贝尔福（法国东部的一个宁静美丽的小城）
belfrage,,n. (Belfrage)人名；(法)贝尔弗拉热；(英)贝尔弗雷奇；(芬、瑞典)贝尔弗拉格
belfried,,a. 有钟楼的
belfries,n. a bell tower; usually stands alone unattached to a building\nn. a room (often at the top of a tower) where bells are hung,n. 钟塔( belfry的复数形式 ); 钟室
belfry,n. a room (often at the top of a tower) where bells are hung,"n. 钟楼, 钟塔"
Belg,,abbr. 比利时（Belgium）；比利时人（Belgian）
belga,,n. 贝尔加(比利时的旧时货币单位)
Belgae,,n. 比利其人(法国北部和比利时的古高卢人)
belgard,n. A sweet or loving look.,n. (Belgard)人名；(德、俄)贝尔加德
belger,,n. (Belger)人名；(英)贝尔杰；(德、土)贝尔格
belgia,,a. 比利时人的
Belgian,n. a native or inhabitant of Belgium\na. of or relating to or characteristic of Belgium or the Belgian people,n. 比利时人\na. 比利时的
Belgian beef stew,,[网络] 比利时炖牛肉
Belgian capital,,[网络] 比利时首都
Belgian Congo,,n. 比属刚果（刚果的旧称）
Belgian endive,,比利时菊苣
belgian franc,,[经] 比利时法郎
Belgian griffon,,[网络] 比利时格里芬
Belgian hare,,n. 比利时兔
Belgian Malinois,,马里努阿犬（产于比利时）
Belgian sheepdog,,比利时牧羊犬
Belgian shepherd,,[网络] 比利时牧羊犬
Belgian Tervuren,,比利时坦比连犬（犬种）
Belgian waffle,,[网络] 比利时窝夫；比利时松饼；比利时产的威化饼
belgians,n. a native or inhabitant of Belgium,n. 比利时人( Belgian的复数形式 )
Belgic,"a. Of or pertaining to the Belgae, a German tribe who\n   anciently possessed the country between the Rhine, the Seine, and the\n   ocean.\na. Of or pertaining to the Netherlands or to Belgium.","a. Belgae 人的,荷兰或比利时的"
belgioioso,, [地名] [意大利] 贝尔焦约索
Belgique,n a monarchy in northwestern Europe; headquarters for the European Union and for the North Atlantic Treaty Organization,<法>=Belgium
belgite,,硅锌矿
Belgium,n. a monarchy in northwestern Europe; headquarters for the European Union and for the North Atlantic Treaty Organization,n. 比利时
belgorod,,别尔哥罗德（俄罗斯地名）
Belgrade,n. capital and largest city of Serbia and Montenegro; situated on the Danube,n. 贝尔格莱德
Belgrano,,n. (Belgrano)人名；(英、西、葡)贝尔格拉诺
Belgrave,,n. (Belgrave)人名；(英)贝尔格雷夫；(西)贝尔格拉韦
Belgravia,,n. 贝尔格莱维亚区(伦敦上流住宅区)
belgravian,"a. Belonging to Belgravia (a fashionable quarter of\n   London, around Pimlico), or to fashionable life; aristocratic.", 贝尔格莱维亚区的（居民） 伦敦富人时髦阶级的（一分子）
belhaven,, [人名] 贝尔哈文; [地名] [英国、英国] 贝尔黑文
beli,,n. (Beli)人名；(塞)贝利；(俄)别雷
belia,,n. (Belia)人名；(匈)拜利奥；(意、罗)贝利亚
beliaiev,,别利亚耶夫
Belial,n. An evil spirit; a wicked and unprincipled person; the\n   personification of evil.,"n. 恶魔, 邪恶"
belibel,v. t. To libel or traduce; to calumniate.,"v. 谗, 诽谤"
belichick,,n. [姓氏]贝里提克
belie,v be in contradiction with\nv represent falsely,"vt. 掩饰, 与...不符, 使失望"
belied,imp. & p. p. of Belie,v. 掩饰( belie的过去式和过去分词 ); 证明（或显示）…为虚假; 辜负; <古>就…扯谎
belief,n. any cognitive content held as true,"n. 信念, 相信, 信仰"
belief function,,[计] 信任函数
belief network,,[计] 信度网络
belief revision,,[计] 信任修正
belief system,,[计] 信任系统
belief-system,,信念系统
belief-systems,plural of belief-system,(belief-system 的复数) 信念系统
beliefs,n any cognitive content held as true\nn a vague idea in which some confidence is placed,n. 信仰；信?（belief的复数）
belier,,n. belie的变形
belies,v be in contradiction with\nv represent falsely,v. 掩饰( belie的第三人称单数 ); 证明（或显示）…为虚假; 辜负; <古>就…扯谎
believability,n the quality of being believable or trustworthy,n. 可信度
believable,a capable of being believed,a. 可信的
believably,r. in a believable manner,adv. believable的变形
believe,v. accept as true; take to be true\nv. be confident about something\nv. follow a credo; have a faith; be a believer\nv. credit with veracity,v. 相信
believe in,,"信仰, 信任"
believe in religion,,信仰宗教
believe it or not,,信不信由你
believe me,,真的
believe sb's bare word,,轻信某人的话
believe sb.'s bare word,,轻信某人的话
believed,imp. & p. p. of Believe,v. 相信( believe的过去式和过去分词 ); 认为; 以为; 对…信以为真
believer,n. a supporter who accepts something as true\nn. a person who has religious faith,n. 信徒
believers,n. a supporter who accepts something as true\nn. a person who has religious faith,n. 信仰者（believer的复数形式）
believes,n any cognitive content held as true\nn a vague idea in which some confidence is placed\nv accept as true; take to be true\nv judge or regard; look upon; judge\nv be confident about something\nv follow a credo; have a faith; be a believer\nv credit with veracity,v. 信仰；相信；认为（believe的三单形式）
believing,n. the cognitive process that leads to convictions,"a. 信任他人的, 有信仰的"
believingly,r in a credulous manner,adv. believing的变形
belike,r with considerable certainty; without much doubt,"adv. 多半, 或许"
Belimat,,贝利马特(无光粘胶丝)
belin,,n. (Belin)人名；(法)贝兰；(俄)别林；(英、西、意、塞、瑞典)贝林
belina,,n. (Belina)人名；(塞)贝林娜(女名)，贝利纳
Belinda,,n. 贝琳达(女子名)
beling,,n. 贝林格（人名）
belinski,,n. (Belinski)人名；(俄)别林斯基
Belinuracea,,针尾鲎类
belisand,,石楠荒漠沙土
Belisarius,n. Byzantine general under Justinian I; he recovered former Roman territories in northern Africa and fought against the Persians,n. 贝利撒留（东罗马帝国将军）
Belisha beacon,,人行道指示灯；斑马线标识
belisle,, [人名] 贝莱尔
belit,,[化] B盐; 二钙硅酸盐; B岩
belite,,"n. 斜硅钙石,B-水泥石(水泥熟料中的矿石成分), 二钙硅酸盐(水泥)"
Belitoeng,,勿里洞岛[印度尼西亚西部]
belittle,"v cause to seem less serious; play down\nv express a negative opinion of\nv lessen the authority, dignity, or reputation of","vt. 轻视, 贬低"
belittled,imp. & p. p. of Belittle,"v. 使显得微小, 轻视, 贬低( belittle的过去式和过去分词 )"
belittlement,,n. 贬抑；贬低
belittler,,n. belittle的变形
belittles,"v cause to seem less serious; play down\nv express a negative opinion of\nv lessen the authority, dignity, or reputation of","v. 使显得微小, 轻视, 贬低( belittle的第三人称单数 )"
belittling,n. the act of belittling\ns. tending to diminish or disparage,"v. 使显得微小, 轻视, 贬低( belittle的现在分词 )"
Belitung,,勿里洞岛[印度尼西亚西部]
belive,a. Forthwith; speedily; quickly.,"adv. 不一会儿, 不久, 马上；及时地（苏格兰英语）"
beliveau,,n. (Beliveau)人名；(英、法)贝利沃
belives,,adv. [苏格兰英语]；急切地；迅速地，快
belize,n. a country on the northeastern coast of Central America on the Caribbean; formerly under British control,n. 伯利兹城（拉丁美洲国家）
Belize City,,伯利兹城（伯利兹最大的城市）
Belize dollar,,[网络] 伯利兹元；洪都拉斯元；贝里斯元
Belizean,,n. 伯利兹(国)人\na. 伯利兹国(人)的
belizeans,,n. 伯利兹人（中美洲国家）\nadj. 伯利兹的
belizian,,adj. (中美洲国家)伯利兹的\nn. 伯利兹人
belk,v. t. To vomit., [人名] [英格兰人姓氏] 贝尔克 Balch的变体
belka,,n. (Belka)人名；(塞、捷)贝尔卡
belkin,,贝尔金\n贝尔金
belknap,, [人名] 贝尔纳普; [地名] [美国] 贝尔纳普
belkov,,n. (Belkov)人名；(俄)别尔科夫
bell,"n. a hollow device made of metal that makes a ringing sound when struck\nn. the sound of a bell being struck\nn. (nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell; eight bells signals 4:00, 8:00, or 12:00 o'clock, either a.m. or p.m.\nn. the shape of a bell","n. 铃, 钟\n[计] 响铃命令"
bell accumulator,,[机] 钟形储蓄器
bell and hopper,,[机] 进料器
bell and plain end joint,,[化] 平接
bell and spigot,,[化] 承插口
bell and spigot joint,,[化] 套接; 承插接头
bell apple,,[网络] 钟苹果
bell arch,, 钟状拱
bell book,,传令钟记录簿\n钟书\n车钟记录簿
bell bronze,,[机] 钟青铜
bell buoy,,装钟浮标
bell cap,,[化] 钟帽; 泡帽; 泡罩(蒸馏塔塔盘上半圆球盖)
bell captain,,"n. <美>（旅馆等的）侍者领班, 服务员领班"
bell cell,,[机] 钟状电解池
bell character,,[计] 报警符
bell chuck,,[机] 钟形夹头
Bell communication standards,,[计] 贝尔通信标准
bell cot,, 钟架
bell cote,,[网络] 铃铛
bell crown,,[医] 钟状冠
bell curve,, 钟形曲线
bell deck,,[网络] 钟楼
bell electroplating bath,,[化] 钟形镀槽
bell end,,[机] 承插端
bell end(of pipe),,[化] 承插端
bell float,,[机] 浮钟
bell founder,,n. 铸钟者
bell foundry,,n. 铸钟场
bell gable,, 吊钟山墙
bell gastrula,,"[医] 钟状囊胚, 原囊胚"
bell glass,,n. 钟形玻璃罩
bell heather,,【植物】轮生叶欧石南；灰色欧石南 (Erica cinerea)
bell idles,,[计] 闲码
Bell interpretive system,,[计] 贝尔解释系统
bell jar," A glass vessel, varying in size, open at the bottom and\n   closed at the top like a bell, and having a knob or handle at the top\n   for lifting it. It is used for a great variety of purposes; as, with\n   the air pump, and for holding gases, also for keeping the dust from\n   articles exposed to view.",[机] 钟罩
