word,definition,translation
B. B. King,,n. B·B·金
B. C.,,"[医] 骨传导, 颊颈的"
B. D.,,"[医] 棱底向下, 颊[侧]远中的"
B. E.,,[医] 结核菌乳剂
B. F.,,[医] 肉汤滤液
B. F. Skinner,,n. 伯尔赫斯·弗雷德里克·斯金纳
B. G.,,[医] 颊龈的
B. I.,,"[医] 棱底向内, 缓冲指数"
B. I. P.,,"[医] 铋碘仿石蜡[糊], 铋泼糊"
B. L.,,[医] 颊舌的
B. M,,"[医] 海水浴, 颊[侧]近中的"
B. M. A.,,[医] 英国医学协会
B. M. J.,,[医] 英国医学杂志
B. M. R.,,[医] 基础代谢率
B. M. S.,,[医] 医学士
B. P.,,"[医] 血压, 英国药典, 颊髓的"
B. P.C.,,[医] 英国副药典
B. S.,,"[医] 呼吸音, 血糖"
B. T. U.,,[医] 英国热单位
B. U.,,[医] 棱底向上
B. V.,,[医] 蒸气浴
B.A.,,"文学士\n[医] 沙浴, 颊轴的"
B.A.C.,,[医] 颊轴颈的
B.A.G.,,[医] 颊轴龈的
B.and M.693,,[医] 磺胺砒啶
b.b.t.absorprion theory,,[机] BET吸附理论
B.C.,r before the Christian era; used following dates before the supposed year Christ was born,公元前
B.C.E.,,abbr. 化学工程学士（Bachelor of Chemical Engineering）；公元前（Before the Common Era）
b.i.d.,,一日两次\n[医] 每日两次
B.O,,"[医] 棱底向外, 颊Ж的, 颊咬合的"
B.O.,,abbr. 狐臭（body odor）
b.p.,,沸点
B.S.,,理学士\n[计] 科学学士
B.S. screens,,[化] 英国标准筛
B.Sc.,,理学士
B.T.U.,,abbr. 英国热量单位（British thermal unit）；英国商务部单位（Board of Trade Unit）
B.Th.U.,,abbr. British thermal unit(s)
B.w.g.,,[电] 英制线规
B/F,,结转
b/l,,n. (缩)提单
b/l copy,,[经] 提货单副本
b/l original,,[经] 提货单正本
b/l to be issued at,,[经] 提货单签发者
b/w,, 黑白
b2b,,abbr. 企业对企业的电子商务模式（business to business）
b2c,,abbr. 企业对消费者的电子商务模式（Business to Customer）
BA,n a soft silvery metallic element of the alkali earth group; found in barite\nn a bachelor's degree in arts and sciences,"文学士\n[计] 基本汇编程序, 布尔代数, 总线可用"
ba-by,,n. 婴儿，婴孩；孩子气的人\nvt. 纵容，娇纵；把……当婴儿般对待\nadj. 婴儿的；幼小的\nn. (Baby)人名；(法、葡)巴比；(英)巴比，芭比(女名)；(俄)巴贝
Ba-grease,,[化] 钡基润滑脂
baa,n. the cry made by sheep,n. 羊叫声\nvi. 羊叫
baa-lamb,n. child's word for a sheep or lamb,n. 咩咩羊
baaa,,abbr. Belgian Airports and Airways Agency 比利时机场和航路管理署; British American Arts Association 大不列颠美洲艺术协会; British Association of Accountants and Auditors 英国会计师和审计师协会
baab,,英国业余体育委员会（British Amateur Athletics Board ）
baabda,, [地名] [黎巴嫩] 巴卜达
baack,,n. (Baack)人名；(德)巴克
baade,, [人名] 巴德
baader,,n. (Baader)人名；(德、捷)巴德尔
Baader Meinhof Gang,,[网络] 迈因霍夫集团
Baader-Meinhof Gang,,[网络] 迈因霍夫集团
baaed,v cry plaintively,v. 羊叫( baa的过去式和过去分词 )
baaf,,abbr. Brigade Airborne Alert Force 旅空中警戒部队
baaing,n. The bleating of a sheep.,v. 羊叫( baa的现在分词 )
Baal,n. any of numerous local fertility and nature deities worshipped by ancient Semitic peoples; the Hebrews considered Baal a false god,n. 太阳神
Baal Merodach,,= Marduk
baalbeck,,n. (Baalbeck)人名；(法)巴尔贝克
Baalbek,,n. 巴勒贝克（黎巴嫩东北部的城镇名）
Baalim,pl.  of Baal,Baal的复数
baalism,n. Worship of Baal; idolatry.,"n. （腓尼基人的）太阳神崇拜, 偶像崇拜"
baalist,n. Alt. of Baalite,n. （腓尼基人的）太阳神崇拜；偶像崇拜 (Baalism的变形)
baalite,n. A worshiper of Baal; a devotee of any false religion; an\n   idolater.,n. 邪神(或偶像)的崇拜者
baan,,n. 博安公司（公司名称）
baar,,n. (Baar)人名；(英、德、俄、捷)巴尔
baard,, [地名] [荷兰] 巴尔德
baaroque,,"n. 新奇的作品<br />a. 巴洛克式的,奇怪的"
baas,n. South African term for `boss',"n. 先生, 老板"
Baastedo's sign,,[医] 巴斯特窦氏征(见于慢性阑尾炎)
baath,,n. (Baath)人名；(德)巴特
Baathism,,"n. (阿拉伯国家如伊拉克、叙利亚复兴社会党所主张的)复兴主义, 巴士主义"
Baathist,,n. 叙利亚社会党党员\na. 叙利亚社会党的
Baathists,plural of Baathist,(Baathist 的复数) n.叙利亚社会党党员\na. 叙利亚社会党的
bab,,"n. 巴布（女子名, 等于Barbara）"
baba,n. a small cake leavened with yeast,n. 兰姆糕
baba au rhum,, 兰姆糕
baba ghanouj,, [中东地区烹饪]茄子色拉
Baba Yaga,,[网络] 逃离女巫树屋；芭芭亚卡；芭芭亚加
babaco,,[网络] 野生桂皮
babacoote,,n. [动]大狐猴
babacu oil,,[网络] 巴巴苏油
babak,,n. (Babak)人名；(俄、塞)巴巴克
babakoto,,[网络] 巴巴科托
babal,,"派系,阴谋"
babalaas,,[网络] 巴巴拉斯
Babalawo,"A Nigerian consult of the oracle from the Yoruba culture. Sometimes the term is used to define a voodoo priest. In movies, they sometimes have dark powers or require expensive sacrifice for their services.\n\nbaba: father\r\nala (o ni) : of\r\nawo: divination\n> I need money. I'll donate a nice fat goat to the babalawo so he can tell me my future.\n",
Babar,n. an imaginary elephant that appears in a series of French books for children,"n. 巴巴（电影名, 书名）"
Babars,plural of Babar\nn. an imaginary elephant that appears in a series of French books for children,"(Babar 的复数) n. 巴巴（电影名, 书名）"
babas,plural of baba\nn. a small cake leavened with yeast,(baba 的复数) n. 兰姆糕
babassu,n tall feather palm of northern Brazil with hard-shelled nuts yielding valuable oil and a kind of vegetable ivory,n. [植]一种巴西棕榈树
babassu kernel oil,,[化] 巴巴苏仁油; 巴巴苏油(取自巴西棕榈Atlalea)
babassu nut,,[网络] 巴巴苏螺母
babassu oil,,[化] 巴巴苏仁油; 巴巴苏油(取自巴西棕榈Atlalea)
babassu palm,,[网络] 巴西棕榈
babatunde,,n. (Babatunde)人名；(塞拉)巴巴通德
babb,,n. (Babb)人名；(法)巴布；(英)芭布
Babbage,,n. 巴贝奇（男子名）
babbage's analytical engine,,[电] 巴贝分析机
babbidge,,n. (Babbidge)人名；(英)巴比奇
babbie,,芭比（人名）
babbies,plural of babby,(babby 的复数) 芭比（女子名）
babbit,, 巴比合金，巴氏合金
Babbit metal,,[化] 巴比特合金
Babbitt,v. line with a Babbitt metal,n. 巴比特式人物\n[医] 巴比特合金(锡、铜、锑的合金)
Babbitt metal," A soft white alloy of variable composition (as a nine\n   parts of tin to one of copper, or of fifty parts of tin to five of\n   antimony and one of copper) used in bearings to diminish friction.","[医] 巴比特合金, 锡铜锑合金"
babbitted,v line with a Babbitt metal,v. 巴氏合金( babbitt的过去式和过去分词 ); 巴氏合金轴承衬
babbitting,n lining a surface or bearing with Babbitt metal\nv line with a Babbitt metal,v. 巴氏合金( babbitt的现在分词 ); 巴氏合金轴承衬
babbittry,,n. 巴比特式作风
babbitts,n an alloy of tin with some copper and antimony; a lining for bearings that reduces friction\nv line with a Babbitt metal,v. 巴氏合金( babbitt的第三人称单数 ); 巴氏合金轴承衬
babble,"n. gibberish resembling the sounds of a baby\nv. utter meaningless sounds, like a baby, or utter in an incoherent way\nv. to talk foolishly","vi. 牙牙学语, 喋喋不休\nvt. 唠叨, 吐露\nn. 儿语, 胡言乱语, 嘈杂声\n[计] 串音"
babble out,, （因多说话而）吐露（或泄露）秘密
babble signal,,[电] 混串音讯号
babbled,imp. & p. p. of Babble,v. 喋喋不休( babble的过去式和过去分词 ); 作潺潺声（如流水）; 含糊不清地说话; 泄漏秘密
babblement,n. Babble.," 模糊不清的言语, 胡说, 潺潺声"
